,subject,response,act_as,against,temp,response_raw
62,63,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
63,64,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
64,65,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
65,66,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
66,67,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
67,68,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
68,69,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
69,70,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
70,71,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
71,72,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
72,73,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
73,74,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
74,75,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
75,76,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
76,77,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
77,78,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
78,79,12,human decision maker,human decision maker,0.25,"[ContentBlock(text='[12]', type='text')]"
79,80,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
80,81,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
81,82,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
82,83,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
83,84,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
84,85,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
85,86,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
86,87,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
87,88,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
88,89,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
89,90,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
90,91,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
91,92,20,human decision maker,human decision maker,0.25,"[ContentBlock(text='[20]', type='text')]"
92,93,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
93,94,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
94,95,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
95,96,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
96,97,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
97,98,19,human decision maker,human decision maker,0.25,"[ContentBlock(text='[19]', type='text')]"
98,99,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
99,100,17,human decision maker,human decision maker,0.25,"[ContentBlock(text='[17]', type='text')]"
100,1,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
101,2,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
102,3,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
103,4,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20] dollars', type='text')]"
104,5,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
105,6,12,human decision maker,human decision maker,0.5,"[ContentBlock(text='[12]', type='text')]"
106,7,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
107,8,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
108,9,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
109,10,18,human decision maker,human decision maker,0.5,"[ContentBlock(text='[18]', type='text')]"
110,11,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
111,12,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
112,13,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
113,14,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
114,15,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20] dollars', type='text')]"
115,16,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
116,17,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
117,18,12,human decision maker,human decision maker,0.5,"[ContentBlock(text='[12]', type='text')]"
118,19,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
119,20,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
120,21,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
121,22,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
122,23,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
123,24,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
124,25,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
125,26,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
126,27,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
127,28,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
128,29,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
129,30,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
130,31,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
131,32,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
132,33,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
133,34,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
134,35,12,human decision maker,human decision maker,0.5,"[ContentBlock(text='[12]', type='text')]"
135,36,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
136,37,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
137,38,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
138,39,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
139,40,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
140,41,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
141,42,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
142,43,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
143,44,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20] dollars', type='text')]"
144,45,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
145,46,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
146,47,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
147,48,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
148,49,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
149,50,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
150,51,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
151,52,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
152,53,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
153,54,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
154,55,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
155,56,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
156,57,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
157,58,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
158,59,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20] dollars.', type='text')]"
159,60,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
160,61,12,human decision maker,human decision maker,0.5,"[ContentBlock(text='[12]', type='text')]"
161,62,15,human decision maker,human decision maker,0.5,"[ContentBlock(text='[15]', type='text')]"
162,63,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
163,64,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
164,65,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
165,66,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
166,67,15,human decision maker,human decision maker,0.5,"[ContentBlock(text='[15]', type='text')]"
167,68,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
168,69,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
169,70,18,human decision maker,human decision maker,0.5,"[ContentBlock(text='[18]', type='text')]"
170,71,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
171,72,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
172,73,15,human decision maker,human decision maker,0.5,"[ContentBlock(text='[15]', type='text')]"
173,74,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
174,75,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
175,76,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
176,77,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
177,78,12,human decision maker,human decision maker,0.5,"[ContentBlock(text='[12]', type='text')]"
178,79,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
179,80,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
180,81,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
181,82,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
182,83,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
183,84,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
184,85,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
185,86,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
186,87,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
187,88,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
188,89,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
189,90,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
190,91,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
191,92,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
192,93,15,human decision maker,human decision maker,0.5,"[ContentBlock(text='[15]', type='text')]"
193,94,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
194,95,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
195,96,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
196,97,17,human decision maker,human decision maker,0.5,"[ContentBlock(text='[17]', type='text')]"
197,98,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20] dollars', type='text')]"
198,99,20,human decision maker,human decision maker,0.5,"[ContentBlock(text='[20]', type='text')]"
199,100,19,human decision maker,human decision maker,0.5,"[ContentBlock(text='[19]', type='text')]"
200,1,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20] dollars', type='text')]"
201,2,15,human decision maker,human decision maker,0.75,"[ContentBlock(text='[15]', type='text')]"
202,3,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
203,4,15,human decision maker,human decision maker,0.75,"[ContentBlock(text='[15]', type='text')]"
204,5,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
205,6,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
206,7,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
207,8,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
208,9,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
209,10,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
210,11,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
211,12,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
212,13,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
213,14,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
214,15,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
215,16,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
216,17,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20] dollars', type='text')]"
217,18,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
218,19,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
219,20,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
220,21,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
221,22,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
222,23,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
223,24,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
224,25,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
225,26,15,human decision maker,human decision maker,0.75,"[ContentBlock(text='[15]', type='text')]"
226,27,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
227,28,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
228,29,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
229,30,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
230,31,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
231,32,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
232,33,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
233,34,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
234,35,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
235,36,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
236,37,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
237,38,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20] dollars', type='text')]"
238,39,15,human decision maker,human decision maker,0.75,"[ContentBlock(text='[15]', type='text')]"
239,40,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
240,41,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
241,42,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
242,43,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
243,44,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
244,45,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
245,46,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
246,47,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20] dollars', type='text')]"
247,48,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
248,49,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
249,50,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
250,51,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
251,52,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
252,53,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20] dollars', type='text')]"
253,54,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
254,55,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
255,56,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20] dollars.', type='text')]"
256,57,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
257,58,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
258,59,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
259,60,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
260,61,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20] dollars', type='text')]"
261,62,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
262,63,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
263,64,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
264,65,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
265,66,15,human decision maker,human decision maker,0.75,"[ContentBlock(text='[15]', type='text')]"
266,67,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
267,68,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
268,69,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
269,70,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
270,71,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
271,72,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20] dollars', type='text')]"
272,73,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
273,74,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20] dollars', type='text')]"
274,75,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
275,76,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
276,77,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
277,78,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
278,79,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
279,80,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
280,81,15,human decision maker,human decision maker,0.75,"[ContentBlock(text='[15]', type='text')]"
281,82,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
282,83,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
283,84,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
284,85,15,human decision maker,human decision maker,0.75,"[ContentBlock(text='[15]', type='text')]"
285,86,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
286,87,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
287,88,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
288,89,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
289,90,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
290,91,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
291,92,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
292,93,12,human decision maker,human decision maker,0.75,"[ContentBlock(text='[12]', type='text')]"
293,94,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
294,95,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
295,96,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
296,97,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
297,98,19,human decision maker,human decision maker,0.75,"[ContentBlock(text='[19]', type='text')]"
298,99,20,human decision maker,human decision maker,0.75,"[ContentBlock(text='[20]', type='text')]"
299,100,17,human decision maker,human decision maker,0.75,"[ContentBlock(text='[17]', type='text')]"
